PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
C	Kanishcheva, O; Nikolova, I; Angelova, G		Agre, G; VanGenabith, J; Declerck, T		Kanishcheva, Olga; Nikolova, Ivelina; Angelova, Galia			Evaluation of Automatic Tag Sense Disambiguation Using the MIRFLICKR Image Collection	ARTIFICIAL INTELLIGENCE: METHODOLOGY, SYSTEMS, AND APPLICATIONS, AIMSA 2018	Lecture Notes in Artificial Intelligence				18th International Conference on Artificial Intelligence - Methodology, Systems, and Applications (AIMSA)	SEP 12-14, 2018	Varna, BULGARIA	Bulgarian Natl Sci Fund, Bulgarian Artificial Intelligence Assoc, Bulgarian Acad Sci, Inst Informat & Commun Technologies				Automatic identification of intended tag meanings is a challenge in large image collections where human authors assign tags inspired by emotional or professional motivations. Algorithms for automatic tag disambiguation need "golden" collections of manually created tags to establish baselines for accuracy assessment. Here we show how to use the MIRFLICKR-25000 collection to evaluate the performance of our algorithm for tag sense disambiguation which identifies meanings of image tags based on WordNet or Wikipedia. We present three different types of observations on the disambiguated tags: (i) accuracy evaluation, (ii) evaluation of the semantic similarity of the individual tags with the image category and (iii) the semantic similarity of an image tagset to the image category, using different word embedding models for the latter two. We show how word embeddings create a specific baseline so the results can be compared. The accuracy we achieve is 78.6%.					Kanishcheva, Olha/L-9358-2016														0302-9743	1611-3349	978-3-319-99344-7; 978-3-319-99343-0				2018	11089						60	72		10.1007/978-3-319-99344-7_6	http://dx.doi.org/10.1007/978-3-319-99344-7_6													WOS:000476896500006
C	Noour, AT; Hubbard, N		Ozdamli, F		Noour, Aisha Tarek; Hubbard, Nick			Self-Determination Theory: Opportunities and Challenges for Blended e-Learning in Motivating Egyptian Learners	4TH WORLD CONFERENCE ON EDUCATIONAL TECHNOLOGY RESEARCHES (WCETR-2014)	Procedia Social and Behavioral Sciences				4th World Conference on Educational Technology Researches (WCETR)	NOV 28-29, 2014	Univ Barcelona, Barcelona, SPAIN		Univ Barcelona			Learner motivation is considered an important premise for the BL method. A self-administered questionnaire was used to collect data from 616 undergraduate learners who were geographically widely spread around the Colleges of International Transport and Logistics (CILT) at the Arab Academy for Science, Technology and Maritime Transport (AAST&MT) in Egypt. Respondents were drawn from three branches in Greater Cairo, Alexandria, and Port Said. The data was analysed using SPSS22 and AMOS(18). This paper contributes to the application of Self-Determination Theory (SDT) within the field of Blended e-Learning (BL) through an analysis of the views of learners towards the opportunities and challenges that BL offers to Logistics Education (LE) in Egypt. (C) 2015 Published by Elsevier Ltd.					Hubbard, Nick/AAH-2440-2019	Hubbard, Nick/0000-0003-0927-0640													1877-0428						2015	182						513	521		10.1016/j.sbspro.2015.04.836	http://dx.doi.org/10.1016/j.sbspro.2015.04.836													WOS:000380397600076
J	Potter, A; Watts, HD				Potter, Antony; Watts, H. Doug			Revisiting Marshall's Agglomeration Economies: Technological Relatedness and the Evolution of the Sheffield Metals Cluster	REGIONAL STUDIES												According to Alfred Marshall, firms receive increasing returns from a trinity of agglomeration economies: a local pool of skilled labour, local supplier linkages and local knowledge spillovers. This article re-examines the mechanisms underlying Marshall's agglomeration economies in the Sheffield metals cluster wherein Marshall discovered them. Despite the cluster's decline, empirical evidence is found that the mechanisms underlying Marshallian agglomeration economies continue to occur within the surviving metals industry. However, upon closer examination, Marshallian agglomeration economies have evolved to become more prevalent amongst plants that use related metals technology. The results highlight the importance of technological relatedness to cluster survival.						Potter, Antony/0000-0001-7918-8576													0034-3404	1360-0591				APR 3	2014	48	4					603	623		10.1080/00343404.2012.667560	http://dx.doi.org/10.1080/00343404.2012.667560													WOS:000334067500005
C	Maças, C; Rodrigues, A; Bernardes, G; Machado, P		Banissi, E; Francese, R; Bannatyne, MWM; Wyeld, TG; Sarfraz, M; Pires, JM; Ursyn, A; Bouali, F; Datia, N; Venturini, G; Polese, G; Deufemia, V; DiMascio, T; Temperini, M; Sciarrone, F; Malandrino, D; Zaccagnino, R; Diaz, P; Papadopoulo, F; Anta, AF; Cuzzocrea, A; Risi, M; Erra, U; Rossano, V		Macas, Catarina; Rodrigues, Ana; Bernardes, Gilberto; Machado, Penousal			MixMash: A Visualisation System for Musical Mashup Creation	2018 22ND INTERNATIONAL CONFERENCE INFORMATION VISUALISATION (IV)	IEEE International Conference on Information Visualisation				22nd International Conference Information Visualisation (IV) - Biomedical Visualization, Visualisation on Built and Rural Environments and Geometric Modelling and Imaging	JUL 10-13, 2018	Salerno, ITALY					We present MixMash, an interactive tool to assist users in the creation of music mashups based on cross-modal associations between musical content analysis and information visualisation. Our point of departure is a harmonic mixing method for musical mashups by Bernardes et al. [1]. To surpass design limitations identified in the previous method, we propose a new interactive visualisation of multidimensional musical attributes-hierarchical harmonic compatibility, onset density, spectral region, and timbral similarity-extracted from a large collection of audio tracks. All tracks are represented as nodes whose distances and edge connections indicate their harmonic compatibility as a result of a force-directed graph. In addition, we provide a visual language that aims to enhance the tool usability and foster creative endeavour in the search for meaningful music mixes.					Maçãs, Catarina/HJY-6155-2023; Machado, Penousal/A-8370-2013; Rodrigues, Ana/ABC-3400-2020; Bernardes, Gilberto/AAV-1847-2020	Maçãs, Catarina/0000-0002-4511-5763; Machado, Penousal/0000-0002-6308-6484; Rodrigues, Ana/0000-0003-4787-1260; Bernardes, Gilberto/0000-0003-3884-2687															978-1-5386-7202-0				2018							471	477		10.1109/iV.2018.00088	http://dx.doi.org/10.1109/iV.2018.00088													WOS:000460565700079
J	Kuusk, K				Kuusk, Kadri			Regional differences in how related variety 'works': the case of labour mobility	EUROPEAN PLANNING STUDIES												The benefits of related variety on regional employment growth have become a prevailing view. However, these remain potential benefits unless channels (e.g. labour flows, inter-firm cooperation) and regional capabilities are in place to convert them into actual growth. This paper focuses on the labour mobility channel and proposes a way to measure the realized part of related variety. It demonstrates that in Sweden, core regions make ten times more use of their related variety potential via labour mobility than small, peripheral regions. Moreover, even in core and large regions only a handful of potential ties are realized. Most firms in small regions must rely on other channels to convert related variety potential into growth. Furthermore, while local labour flows between related industries are associated with higher employment growth, no evidence is found that, on average, other channels bring growth benefits in small regions. Thus, the paper argues that the role of market-mediated knowledge flow channels like labour mobility is underestimated compared to pure spillovers via unintended interactions. Consequently, it is important to go beyond assuming that the benefits of related variety are 'in the air' or in local 'buzz' and focus on specific channels at work.																			0965-4313	1469-5944				OCT 3	2021	29	10					1951	1973		10.1080/09654313.2021.1903398	http://dx.doi.org/10.1080/09654313.2021.1903398		MAR 2021											WOS:000634548300001
C	Bolshakov, IA; Gelbukh, A		Rueda, L; Mery, D; Kittler, J		Bolshakov, Igor A.; Gelbukh, Alexander			Distribution-based semantic similarity of nouns	PROGRESS IN PATTERN RECOGNITION, IMAGE ANALYSIS AND APPLICATIONS, PROCEEDINGS	LECTURE NOTES IN COMPUTER SCIENCE				12th Iberoamerican Congress on Pattern Recognition	NOV 13-16, 2007	Valparaiso, CHILE	Univ Santiago Chile, Dept Indormat Ingn, Tech Univ Feder Santa Maria, Dept Informat Tech				In our previous work we have proposed two methods for evaluating semantic similarity / dissimilarity of nouns based on their modifier sets registered in Oxford Collocation Dictionary for Student of English. In this paper we provide further details on the experimental support and discussion of these methods. Given two nouns, in the first method the similarity is measured by the relative size of the intersection of the sets of modifiers applicable to both of them. In the second method, the dissimilarity is measured by the difference between the mean values of cohesion between a noun and the two sets of modifiers: its own ones and those of the other noun in question. Here, the cohesion between words is measured via Web statistics for co-occurrences of words. The two proposed measures prove to be in approximately inverse dependency. Our experiments show that Web-based weighting (the second method) gives better results.					Gelbukh, Alexander/A-8979-2008	Gelbukh, Alexander/0000-0001-7845-9039													0302-9743		978-3-540-76724-4				2007	4756						704	713																WOS:000252725900073
J	Boschma, R				Boschma, Ron			Global value chains from an evolutionary economic geography perspective: a research agenda	AREA DEVELOPMENT AND POLICY												The research agendas of evolutionary economic geography (EEG) and global value chains (GVCs) have developed more or less independently from each other, with little interaction so far. This is unfortunate because both streams of literature have a lot to offer each other. This paper explores how, looking at four strands in the GVC literature. Promising crossovers between EEG and the GVC literature are identified, but also some missing links that need to be taken up in future research. These new research avenues, promoting the adoption of an evolutionary perspective on GVCs, are expected to enrich both literatures in mutual ways.																			2379-2949	2379-2957				APR 3	2022	7	2					123	146		10.1080/23792949.2022.2040371	http://dx.doi.org/10.1080/23792949.2022.2040371		MAR 2022											WOS:000780466500001
J	Zheng, G; Li, ZH; Gail, MH; Gastwirth, JL				Zheng, Gang; Li, Zhaohai; Gail, Mitchell H.; Gastwirth, Joseph L.			Impact of Population Substructure on Trend Tests for Genetic Case-Control Association Studies	BIOMETRICS												P>Hidden population substructure in case-control data has the potential to distort the performance of Cochran-Armitage trend tests (CATTs) for genetic associations. Three possible scenarios that may arise are investigated here: (i) heterogeneity of genotype frequencies across unidentified subpopulations (PSI), (ii) heterogeneity of genotype frequencies and disease risk across unidentified subpopulations (PSII), and (iii) cryptic correlations within unidentified subpopulations. A unified approach is presented for deriving the bias and variance distortion under the three scenarios for any CATT in a general family. Using these analytical formulas, we evaluate the excess type I errors of the CATTs numerically in the presence of population substructure. Our results provide insight into the properties of some proposed corrections for bias and variance distortion and show why they may not fully correct for the effects of population substructure.																			0006-341X	1541-0420				MAR	2010	66	1					196	204		10.1111/j.1541-0420.2009.01264.x	http://dx.doi.org/10.1111/j.1541-0420.2009.01264.x								19432788					WOS:000275727200023
C	Weber, RO; Johs, AJ; Li, JF; Huang, K		Cox, MT; Funk, P; Begum, S		Weber, Rosina O.; Johs, Adam J.; Li, Jianfei; Huang, Kent			Investigating Textual Case-Based XAI	CASE-BASED REASONING RESEARCH AND DEVELOPMENT, ICCBR 2018	Lecture Notes in Artificial Intelligence				26th International Conference on Case-Based Reasoning (ICCBR)	JUL 09-12, 2018	Stockholm, SWEDEN					This paper demonstrates how case-based reasoning (CBR) can be used for an explainable artificial intelligence (XAI) approach to justify solutions produced by an opaque learning method (i.e., target method), particularly in the context of unstructured textual data. Our general hypothesis is twofold: (1) There exists patterns in the relationship between problems and solutions and there should be data or a body of knowledge that describes how problems and solutions relate; and (2) the identification, manipulation, and learning of such patterns through case features can help create and reuse explanations for solutions produced by the target method. When the target method relies on neural network architectures (e.g., deep learning), the resulting latent space (i.e., word embeddings) becomes useful for finding patterns and semantic relatedness in textual data. In the proposed approach, case problems are input-output pairs from the target method, and case solutions are explanations. We exemplify our approach by explaining recommended citations from Citeomatic - a multi-layer neural-network architecture from the Allen Institute for Artificial Intelligence. Citation analysis is the body of knowledge that describes how query documents (i.e., inputs) relate to recommended citations (i.e., outputs). We build cases and similarity assessment to learn features that represent patterns between problems and solutions that can lead to the reuse of corresponding explanations. The illustrative implementation we present becomes an explanation-augmented citation recommender that targets human-computer trust.					Weber, Rosina/AAE-4918-2020	Weber, Rosina/0000-0001-7048-8812													2945-9133	1611-3349	978-3-030-01081-2; 978-3-030-01080-5				2018	11156						431	447		10.1007/978-3-030-01081-2_29	http://dx.doi.org/10.1007/978-3-030-01081-2_29													WOS:000717233500029
J	Adedoyin, FF; Nwulu, N; Bekun, FV				Adedoyin, Festus Fatai; Nwulu, Nnamdi; Bekun, Festus Victor			Environmental degradation, energy consumption and sustainable development: Accounting for the role of economic complexities with evidence from World Bank income clusters	BUSINESS STRATEGY AND THE ENVIRONMENT												The anthropogenic consequences of renewable and non-renewable energy consumption, economic growth, and air transport have been assessed enormously in the literature. However, given the complexities in many economies of the world today, it is important to reassess the ecological concerns of these factors in light of the Environmental Kuznets Curve framework. Therefore, this current study investigates the global assessment using data from World Bank Development database from 1995 to 2016. Evidence from the method employed, sys-GMM, revealed that the economic complexities index increases the carbon emission in low-income groups while it significantly decreases the carbon emission for upper-middle and high-income groups. For the combined group, the EKC hypothesis holds, and ECI significantly hampers carbon emissions. For the other variables, it is worthy of note that (1) economic growth contributes to the high carbon contents across the income group especially for low-income, upper-middle-income and high-income group; (2) the effects of air transport on carbon emission is positive for lower-middle-income and high-income group and negative for the upper-middle-income group; (3) the use of coal rents and energy use leads to high release of carbon contents across all the income groups; and (4) a significant increase in the utilization of energy leads to increase in carbon contents except for lower-income group, it leads to a decrease. From this empirical assessment, vital energy policy directions are suggested.					Adedoyin, Festus Fatai/AAM-4667-2020; Nwulu, Nnamdi/AAY-3868-2021; Bekun, Festus Victor/AAU-3573-2020	Adedoyin, Festus Fatai/0000-0002-3586-2570; Nwulu, Nnamdi/0000-0003-2607-7439; Bekun, Festus Victor/0000-0003-4948-6905													0964-4733	1099-0836				JUL	2021	30	5					2727	2740		10.1002/bse.2774	http://dx.doi.org/10.1002/bse.2774		MAR 2021											WOS:000629206900001
